dataset_version,document_version,chunk_version,retriever,question_id,question_type,expected_answerable,needs_human_review,k,rank,retrieved_chunk_id,score,is_gold,latency_ms
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF001,fact_specific,True,False,1,1,c78ff32d-ea17-41fd-98ef-2e8872f01df3,4.710935592651367,True,1.0474000009708107
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF001,fact_specific,True,False,3,1,c78ff32d-ea17-41fd-98ef-2e8872f01df3,4.710935592651367,True,1.0474000009708107
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF001,fact_specific,True,False,3,2,9131e9a9-eff3-4f4e-a20b-4bdd456c35bc,4.693674087524414,False,1.0474000009708107
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF001,fact_specific,True,False,3,3,b0b5bc4f-7d0b-4f56-8e37-84178d38637d,4.191636562347412,False,1.0474000009708107
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF001,fact_specific,True,False,5,1,c78ff32d-ea17-41fd-98ef-2e8872f01df3,4.710935592651367,True,1.0474000009708107
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF001,fact_specific,True,False,5,2,9131e9a9-eff3-4f4e-a20b-4bdd456c35bc,4.693674087524414,False,1.0474000009708107
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF001,fact_specific,True,False,5,3,b0b5bc4f-7d0b-4f56-8e37-84178d38637d,4.191636562347412,False,1.0474000009708107
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF001,fact_specific,True,False,5,4,48b9789d-5088-4ba1-a82a-be3a6396ce85,3.7632017135620117,False,1.0474000009708107
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF001,fact_specific,True,False,5,5,919e93ca-fed9-4dde-b9b8-f870e207a3f3,1.8727848529815674,False,1.0474000009708107
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF001,fact_specific,True,False,10,1,c78ff32d-ea17-41fd-98ef-2e8872f01df3,4.710935592651367,True,1.0474000009708107
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF001,fact_specific,True,False,10,2,9131e9a9-eff3-4f4e-a20b-4bdd456c35bc,4.693674087524414,False,1.0474000009708107
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF001,fact_specific,True,False,10,3,b0b5bc4f-7d0b-4f56-8e37-84178d38637d,4.191636562347412,False,1.0474000009708107
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF001,fact_specific,True,False,10,4,48b9789d-5088-4ba1-a82a-be3a6396ce85,3.7632017135620117,False,1.0474000009708107
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF001,fact_specific,True,False,10,5,919e93ca-fed9-4dde-b9b8-f870e207a3f3,1.8727848529815674,False,1.0474000009708107
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF001,fact_specific,True,False,10,6,30ce28cb-f702-4cce-8105-137e2f73af0d,1.6620255708694458,False,1.0474000009708107
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF001,fact_specific,True,False,10,7,22e6c188-2e4c-4029-b200-7770a3f00e6e,1.6404465436935425,False,1.0474000009708107
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF001,fact_specific,True,False,10,8,7e5199d4-e5c9-40ca-a69f-ea37f52c6ce3,0.9198150634765625,False,1.0474000009708107
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF001,fact_specific,True,False,10,9,a7cf71a5-8426-4d7c-8106-e0754e7cb4bf,0.9092135429382324,False,1.0474000009708107
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF001,fact_specific,True,False,10,10,5de4d74d-720e-4d86-a836-f946d70a2d32,0.901841402053833,False,1.0474000009708107
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF002,paraphrase,True,False,1,1,c78ff32d-ea17-41fd-98ef-2e8872f01df3,5.9642510414123535,True,0.7346000002144137
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,bm25,TF002,paraphrase,True,False,3,1,c78ff32d-ea17-41fd-98ef-2e8872f01df3,5.9642510414123535,True,0.7346000002144137
