dataset_version,document_version,chunk_version,retriever,question_id,question_type,expected_answerable,needs_human_review,k,rank,retrieved_chunk_id,score,is_gold,latency_ms
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,chromadb,TF001,fact_specific,True,False,1,1,63cb7040-3526-4f6f-9f88-e295bbe5edaf,0.6859796047210693,False,81.4247999987856
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,chromadb,TF001,fact_specific,True,False,3,1,63cb7040-3526-4f6f-9f88-e295bbe5edaf,0.6859796047210693,False,81.4247999987856
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,chromadb,TF001,fact_specific,True,False,3,2,16efaa44-1554-4748-8407-48fac0bced94,0.6116716861724854,False,81.4247999987856
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,chromadb,TF001,fact_specific,True,False,3,3,fb4884e3-8fea-42fa-b996-7e9c333e7fef,0.6077877283096313,False,81.4247999987856
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,chromadb,TF001,fact_specific,True,False,5,1,63cb7040-3526-4f6f-9f88-e295bbe5edaf,0.6859796047210693,False,81.4247999987856
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,chromadb,TF001,fact_specific,True,False,5,2,16efaa44-1554-4748-8407-48fac0bced94,0.6116716861724854,False,81.4247999987856
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,chromadb,TF001,fact_specific,True,False,5,3,fb4884e3-8fea-42fa-b996-7e9c333e7fef,0.6077877283096313,False,81.4247999987856
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,chromadb,TF001,fact_specific,True,False,5,4,eeb8db46-f757-41f1-9ca5-c022f3d4ea3e,0.6077877283096313,False,81.4247999987856
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,chromadb,TF001,fact_specific,True,False,5,5,17e22a4e-78d9-4607-b75b-151e52cc4d20,0.6077877283096313,False,81.4247999987856
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,chromadb,TF001,fact_specific,True,False,10,1,63cb7040-3526-4f6f-9f88-e295bbe5edaf,0.6859796047210693,False,81.4247999987856
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,chromadb,TF001,fact_specific,True,False,10,2,16efaa44-1554-4748-8407-48fac0bced94,0.6116716861724854,False,81.4247999987856
