question_id,question_type,expected_answerable,needs_human_review,latency_ms,hit_at_1,hit_at_3,hit_at_5,hit_at_10,mrr,recall_at_10
TF001,fact_specific,True,False,0.981099999989965,0.0,1.0,1.0,1.0,0.5,1.0
TF002,paraphrase,True,False,0.7287999997060979,1.0,1.0,1.0,1.0,1.0,1.0
TF003,product_specific,True,False,0.7789999999658903,0.0,1.0,1.0,1.0,0.3333333333333333,1.0
TF004,product_specific,True,False,0.6945999994059093,0.0,0.0,1.0,1.0,0.25,1.0
TF005,temporal,True,False,0.7653000011487165,1.0,1.0,1.0,1.0,1.0,1.0
TF006,temporal,True,False,0.7724999995843973,1.0,1.0,1.0,1.0,1.0,1.0
TF007,temporal,True,False,2.98089999887452,0.0,0.0,0.0,0.0,0.0,0.0
TF008,product_specific,True,False,0.7170999997470062,0.0,1.0,1.0,1.0,0.5,1.0
TF009,product_specific,True,False,0.7904000012786128,0.0,1.0,1.0,1.0,0.5,0.5
TF010,product_specific,True,False,0.6616999999096151,1.0,1.0,1.0,1.0,1.0,1.0
TF011,paraphrase,True,False,0.8780000007391209,0.0,0.0,0.0,0.0,0.0,0.0
TF012,product_specific,True,False,0.8483000001433538,0.0,1.0,1.0,1.0,0.5,1.0
TF013,product_specific,True,False,0.8229999984905589,0.0,0.0,1.0,1.0,0.25,1.0
TF014,temporal,True,False,0.8331000008183764,1.0,1.0,1.0,1.0,1.0,1.0
TF015,product_specific,True,False,0.6807999998272862,0.0,1.0,1.0,1.0,0.5,1.0
TF016,paraphrase,True,False,0.7859000015741913,0.0,0.0,1.0,1.0,0.2,1.0
TF017,procedure,True,False,0.8009000011952594,0.0,1.0,1.0,1.0,0.5,0.7142857142857143
TF018,temporal,True,False,0.7380000006378395,1.0,1.0,1.0,1.0,1.0,1.0
TF019,preparation,True,False,1.037699999869801,1.0,1.0,1.0,1.0,1.0,1.0
TF020,temporal,True,False,0.8407000004808651,1.0,1.0,1.0,1.0,1.0,1.0
TF021,preparation,True,False,0.7961000010254793,1.0,1.0,1.0,1.0,1.0,1.0
TF022,preparation,True,False,1.0049000011349563,0.0,0.0,0.0,1.0,0.125,0.5
TF023,temporal,True,False,0.6125999989308184,0.0,0.0,1.0,1.0,0.25,1.0
TF024,temporal,True,False,0.5849999997735722,0.0,0.0,0.0,0.0,0.0,0.0
TF025,fact_specific,True,False,0.6881999997858657,0.0,1.0,1.0,1.0,0.5,1.0
TF026,fact_specific,True,False,0.8261000002676155,1.0,1.0,1.0,1.0,1.0,1.0
TF027,procedure,True,True,0.627500001428416,0.0,0.0,0.0,0.0,0.0,0.0
TF028,preparation,True,False,0.8120999991660938,0.0,0.0,0.0,1.0,0.14285714285714285,1.0
TF029,preparation,True,False,0.8945999998104526,0.0,1.0,1.0,1.0,0.3333333333333333,1.0
TF030,temporal,True,False,3.5540000008040806,0.0,0.0,0.0,0.0,0.0,0.0
TF031,procedure,True,False,0.8721000012883451,0.0,1.0,1.0,1.0,0.5,1.0
TF032,fact_specific,True,False,0.7627000013599172,1.0,1.0,1.0,1.0,1.0,1.0
TF033,fact_specific,True,False,0.790600000982522,1.0,1.0,1.0,1.0,1.0,1.0
TF034,product_specific,True,False,5.709000000933884,1.0,1.0,1.0,1.0,1.0,1.0
TF035,paraphrase,True,False,0.7321000011870638,0.0,1.0,1.0,1.0,0.5,1.0
TF036,monitoring,True,False,0.9429999990970828,1.0,1.0,1.0,1.0,1.0,1.0
TF037,adverse_reaction,True,False,0.7057000002532732,1.0,1.0,1.0,1.0,1.0,1.0
TF038,adverse_reaction,True,False,1.0332999991078395,0.0,1.0,1.0,1.0,0.5,1.0
TF039,adverse_reaction,True,False,0.6906999988132156,0.0,1.0,1.0,1.0,0.5,1.0
TF040,adverse_reaction,True,False,0.7651999985682778,1.0,1.0,1.0,1.0,1.0,1.0
TF041,adverse_reaction,True,False,0.6654000007983996,1.0,1.0,1.0,1.0,1.0,1.0
TF042,procedure,True,False,0.6446999996114755,0.0,0.0,1.0,1.0,0.25,1.0
TF043,procedure,True,False,0.9062999997695442,0.0,0.0,0.0,0.0,0.0,0.0
TF044,fact_specific,True,False,0.8452999991277466,0.0,0.0,0.0,0.0,0.0,0.0
TF045,paraphrase,True,False,0.7010000008449424,0.0,0.0,0.0,1.0,0.1,1.0
TN001,negative_out_of_scope,False,False,0.549700000192388,,,,,,
TN002,negative_out_of_scope,False,False,0.5760000003647292,,,,,,
TN003,negative_out_of_scope,False,False,0.5934000000706874,,,,,,
TN004,negative_out_of_scope,False,False,0.4986000003555091,,,,,,
TN005,negative_out_of_scope,False,False,0.5379000012908364,,,,,,
TP001,product_specific,True,False,0.7736999996268423,0.0,0.0,1.0,1.0,0.25,0.5
TP002,product_specific,True,False,0.6763999990653247,0.0,0.0,0.0,0.0,0.0,0.0
TP003,temporal,True,False,0.7997000011528144,1.0,1.0,1.0,1.0,1.0,1.0
TP004,temporal,True,False,0.7027999999991152,1.0,1.0,1.0,1.0,1.0,1.0
TP005,temporal,True,False,0.7322000001295237,1.0,1.0,1.0,1.0,1.0,1.0
TP006,product_specific,True,False,0.4813999985344708,1.0,1.0,1.0,1.0,1.0,1.0
