engine,query_id,original_query,normalized_query,expanded_query,rank,bm25_score,document_id,document_name,page_number,location,section_title,chunk_id,chunk_text,source_type,relevance_label,failure_type,review_note
rank_bm25,Q001,진정간호 목적은?,진정간호 목적은?,진정간호 목적은?,1,15.335750579833984,eval-741858d2e9162acf8d38,실무지침서_진정간호.pdf,1,,15. 진정간호,eval-741858d2e9162acf8d38-chunk-00002,15. 진정간호,pdf,unreviewed,,
rank_bm25,Q001,진정간호 목적은?,진정간호 목적은?,진정간호 목적은?,2,9.791088104248047,eval-741858d2e9162acf8d38,실무지침서_진정간호.pdf,1,,1. 목적,eval-741858d2e9162acf8d38-chunk-00003,"1. 목적
저혈압, 호흡 기능 억제 등 진정 치료 부작용의 발생을 예방하기 위해 적격한 자가 진정 전 환자의
상태를 평가하고 안전하게 진정 치료를 수행하기 위함이다.",pdf,unreviewed,,
rank_bm25,Q001,진정간호 목적은?,진정간호 목적은?,진정간호 목적은?,3,2.1917548179626465,eval-741858d2e9162acf8d38,실무지침서_진정간호.pdf,6,,,eval-741858d2e9162acf8d38-chunk-00034,"간호실무지침
진정 기록 [진정 후]
[진정기록지]
[간호기록]
예시 ① 예시 ②",pdf,unreviewed,,
rank_bm25,Q001,진정간호 목적은?,진정간호 목적은?,진정간호 목적은?,4,1.800189733505249,eval-741858d2e9162acf8d38,실무지침서_진정간호.pdf,5,,,eval-741858d2e9162acf8d38-chunk-00029,"[진정기록지]
[간호기록]
예시 ① 예시 ②",pdf,unreviewed,,
rank_bm25,Q001,진정간호 목적은?,진정간호 목적은?,진정간호 목적은?,5,1.791450023651123,eval-741858d2e9162acf8d38,실무지침서_진정간호.pdf,3,,4) 진정 치료를 수행하는 의료인은 ‘진정 평가 기록지’ 또는 ‘간호기록’ 등을 통해 진정 전‧중‧후,eval-741858d2e9162acf8d38-chunk-00019,"4) 진정 치료를 수행하는 의료인은 ‘진정 평가 기록지’ 또는 ‘간호기록’ 등을 통해 진정 전‧중‧후  
   환자 상태를 평가하고 모니터링하여 기록한다.
* 진정 평가 기록지(동의서 및 기타 출력서식 출력 → 작성 후 OCR 반납)
* 진정 중 서면 기록지 출력 방법",pdf,unreviewed,,
rank_bm25,Q001,진정간호 목적은?,진정간호 목적은?,진정간호 목적은?,6,1.6103060245513916,eval-741858d2e9162acf8d38,실무지침서_진정간호.pdf,3,,4) 진정 치료를 수행하는 의료인은 ‘진정 평가 기록지’ 또는 ‘간호기록’ 등을 통해 진정 전‧중‧후,eval-741858d2e9162acf8d38-chunk-00020,"* 진정 중 서면 기록지 출력 방법
(출력물을 지참하여 검사실에서 수기로 작성 후 EMR 진정 기록지에 입력한다.)
진정 기록지 작성 방법 [성인]
① 진정 치료 전 
 활력징후와 산소포화도를 평가하고 모니터링하여 기록한다.
② 진정 약물 투여",pdf,unreviewed,,
rank_bm25,Q001,진정간호 목적은?,진정간호 목적은?,진정간호 목적은?,7,1.5523079633712769,eval-741858d2e9162acf8d38,실무지침서_진정간호.pdf,3,,4) 진정 치료를 수행하는 의료인은 ‘진정 평가 기록지’ 또는 ‘간호기록’ 등을 통해 진정 전‧중‧후,eval-741858d2e9162acf8d38-chunk-00021,"② 진정 약물 투여
 처방 받은 약물을 투약하고 약품명, 용량, 용법을 기록하고 서명한다.
③ 진정 치료 중 
 15분 간격으로 활력징후, 산소포화도, 의식상태(MOAA/S scale)를 평가하고 모니터링하여 
  기록한다.
④ 진정 치료 후",pdf,unreviewed,,
rank_bm25,Q001,진정간호 목적은?,진정간호 목적은?,진정간호 목적은?,8,1.5328470468521118,eval-741858d2e9162acf8d38,실무지침서_진정간호.pdf,5,,,eval-741858d2e9162acf8d38-chunk-00028,"간호실무지침
퇴실 시 교육
Ÿ 주의해야 할 주요증상 및 징후
Ÿ 발생할 수 있는 합병증
Ÿ 식사, 약물복용, 일상 활동 등
Ÿ 응급상황 발생 시 일차적인 처치 방법 및 연락처
진정 기록 [진정 중]
[진정기록지]",pdf,unreviewed,,
rank_bm25,Q001,진정간호 목적은?,진정간호 목적은?,진정간호 목적은?,9,1.5268285274505615,eval-741858d2e9162acf8d38,실무지침서_진정간호.pdf,4,,,eval-741858d2e9162acf8d38-chunk-00023,"간호실무지침
진정 기록지 작성 방법 [소아]
① 진정 치료 전 
 활력징후와 산소포화도를 평가하고 모니터링하여 기록한다.
② 진정 약물 투여
 처방 받은 약물을 투약하고 약품명, 용량, 용법을 기록하고 서명한다.
③ 진정 치료 중",pdf,unreviewed,,
rank_bm25,Q001,진정간호 목적은?,진정간호 목적은?,진정간호 목적은?,10,1.5114872455596924,eval-741858d2e9162acf8d38,실무지침서_진정간호.pdf,5,,,eval-741858d2e9162acf8d38-chunk-00032,S | T-PCRA 6ml 경구 복용 후 진정 상태로 간호사 OOO 동행하여 S-Car 타고 MRI실 내려감,pdf,unreviewed,,
rank_bm25,Q002,진정간호 절차는?,진정간호 절차는?,진정간호 절차는?,1,15.335750579833984,eval-741858d2e9162acf8d38,실무지침서_진정간호.pdf,1,,15. 진정간호,eval-741858d2e9162acf8d38-chunk-00002,15. 진정간호,pdf,unreviewed,,
rank_bm25,Q002,진정간호 절차는?,진정간호 절차는?,진정간호 절차는?,2,10.14653205871582,eval-741858d2e9162acf8d38,실무지침서_진정간호.pdf,2,,6. 진정 절차,eval-741858d2e9162acf8d38-chunk-00013,"6. 진정 절차
1) 진정 QSED 처방을 확인한다.",pdf,unreviewed,,
rank_bm25,Q002,진정간호 절차는?,진정간호 절차는?,진정간호 절차는?,3,9.395285606384277,eval-741858d2e9162acf8d38,실무지침서_진정간호.pdf,8,,8. 외래에서의 소아 진정치료 절차,eval-741858d2e9162acf8d38-chunk-00042,8. 외래에서의 소아 진정치료 절차,pdf,unreviewed,,
rank_bm25,Q002,진정간호 절차는?,진정간호 절차는?,진정간호 절차는?,4,8.95201587677002,eval-741858d2e9162acf8d38,실무지침서_진정간호.pdf,2,,6. 진정 절차,eval-741858d2e9162acf8d38-chunk-00014,"성인
소아",pdf,unreviewed,,
rank_bm25,Q002,진정간호 절차는?,진정간호 절차는?,진정간호 절차는?,5,2.1917548179626465,eval-741858d2e9162acf8d38,실무지침서_진정간호.pdf,6,,,eval-741858d2e9162acf8d38-chunk-00034,"간호실무지침
진정 기록 [진정 후]
[진정기록지]
[간호기록]
예시 ① 예시 ②",pdf,unreviewed,,
