funnel_stage,rank,chunk_id,chunk_index,page,section,text,semantic_score,bm25_score,rrf_score,rerank_score,context_only,context_complete,required_recalled,required_total,required_recall
bm25_top40,1,eval-741858d2e9162acf8d38-chunk-00013,12,2,6. 진정 절차,"6. 진정 절차
1) 진정 QSED 처방을 확인한다.",0.39694908261299133,6.142280101776123,0.02738245361196181,,,,10,10,1.0
bm25_top40,2,eval-741858d2e9162acf8d38-chunk-00014,13,2,6. 진정 절차,"성인
소아",0.5172426700592041,5.467109680175781,0.028949545078577336,,,,10,10,1.0
bm25_top40,3,eval-741858d2e9162acf8d38-chunk-00034,33,6,,"간호실무지침
진정 기록 [진정 후]
[진정기록지]
[간호기록]
예시 ① 예시 ②",0.7663836479187012,0.5322299003601074,0.03125763125763126,,,,10,10,1.0
bm25_top40,4,eval-741858d2e9162acf8d38-chunk-00029,28,5,,"[진정기록지]
[간호기록]
예시 ① 예시 ②",0.6200354099273682,0.4647495746612549,0.030117753623188408,,,,10,10,1.0
bm25_top40,5,eval-741858d2e9162acf8d38-chunk-00032,31,5,,S | T-PCRA 6ml 경구 복용 후 진정 상태로 간호사 OOO 동행하여 S-Car 타고 MRI실 내려감,0.5254450440406799,0.397465318441391,0.02854251012145749,,,,10,10,1.0
bm25_top40,6,eval-741858d2e9162acf8d38-chunk-00019,18,3,4) 진정 치료를 수행하는 의료인은 ‘진정 평가 기록지’ 또는 ‘간호기록’ 등을 통해 진정 전‧중‧후,"4) 진정 치료를 수행하는 의료인은 ‘진정 평가 기록지’ 또는 ‘간호기록’ 등을 통해 진정 전‧중‧후  
   환자 상태를 평가하고 모니터링하여 기록한다.
* 진정 평가 기록지(동의서 및 기타 출력서식 출력 → 작성 후 OCR 반납)
* 진정 중 서면 기록지 출력 방법",0.5198318362236023,0.33828726410865784,0.02813852813852814,,,,10,10,1.0
bm25_top40,7,eval-741858d2e9162acf8d38-chunk-00035,34,6,,"S | MRI 검사 종료 후 간호사 OOO 동행하여 S-Car 타고 병실로 돌아옴 진정된 상태로 V/S HR:108회/분, RR: 24회/분, SpO2 97% 측정됨. 진정 후 안내문 보호자(모)에게 제공하며 교육함",0.4563170373439789,0.31842899322509766,0.026830135039090264,,,,10,10,1.0
bm25_top40,8,eval-741858d2e9162acf8d38-chunk-00037,36,7,,"간호실무지침
[실제 예시]
진정 후 안내문
Ÿ 구두 및 서면으로 교육한다.
Ÿ 소아진정 시 필요에 따라 보호자의 도움을 받을 수 있으며, 퇴실 시 보호자 또는 대리인이 
동행한다.",0.6617573499679565,0.3017662465572357,0.029631255487269532,,,,10,10,1.0
bm25_top40,9,eval-741858d2e9162acf8d38-chunk-00028,27,5,,"간호실무지침
퇴실 시 교육
Ÿ 주의해야 할 주요증상 및 징후
Ÿ 발생할 수 있는 합병증
Ÿ 식사, 약물복용, 일상 활동 등
Ÿ 응급상황 발생 시 일차적인 처치 방법 및 연락처
진정 기록 [진정 중]
[진정기록지]",0.6152632236480713,0.29528599977493286,0.02877846790890269,,,,10,10,1.0
bm25_top40,10,eval-741858d2e9162acf8d38-chunk-00023,22,4,,"간호실무지침
진정 기록지 작성 방법 [소아]
① 진정 치료 전 
 활력징후와 산소포화도를 평가하고 모니터링하여 기록한다.
② 진정 약물 투여
 처방 받은 약물을 투약하고 약품명, 용량, 용법을 기록하고 서명한다.
③ 진정 치료 중",0.6543147563934326,0.26669788360595703,0.028991596638655463,,,,10,10,1.0
bm25_top40,11,eval-741858d2e9162acf8d38-chunk-00021,20,3,4) 진정 치료를 수행하는 의료인은 ‘진정 평가 기록지’ 또는 ‘간호기록’ 등을 통해 진정 전‧중‧후,"② 진정 약물 투여
 처방 받은 약물을 투약하고 약품명, 용량, 용법을 기록하고 서명한다.
③ 진정 치료 중 
 15분 간격으로 활력징후, 산소포화도, 의식상태(MOAA/S scale)를 평가하고 모니터링하여 
  기록한다.
④ 진정 치료 후",0.39055317640304565,0.2364179790019989,0.024954072259644827,,,,10,10,1.0
bm25_top40,12,eval-741858d2e9162acf8d38-chunk-00022,21,3,4) 진정 치료를 수행하는 의료인은 ‘진정 평가 기록지’ 또는 ‘간호기록’ 등을 통해 진정 전‧중‧후,"기록한다.
④ 진정 치료 후
 회복 시까지 활력징후와 회복 상태를 15분 간격으로 평가하고 모니터링하여 기록한다.
⑤ 회복실이 없는 검사실에서 검사를 진행한 입원환자는 입원실로 이동하여 모니터링을 한다.",0.46504801511764526,0.2286878526210785,0.025937081659973226,,,,10,10,1.0
