config,group,case_count,hit_at_1,hit_at_3,hit_at_5,hit_at_10,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precision_at_1,precision_at_3,precision_at_5,precision_at_10,ragas_id_context_precision,ragas_id_context_recall,mean_latency_ms,p95_latency_ms
bm25_current,diagnostic:colloquial,15,0.4,0.5333333333333333,0.6666666666666666,0.8666666666666667,0.5194444444444445,0.3333333333333333,0.4666666666666667,0.5666666666666667,0.8333333333333334,0.4,0.17777777777777776,0.13333333333333333,0.10666666666666667,0.10666666666666667,0.8333333333333334,0.8496666666663563,1.151530000151979
bm25_current,diagnostic:exact_medical_or_product_term,15,0.4,0.5333333333333333,0.6666666666666666,0.8,0.5033333333333333,0.3333333333333333,0.4666666666666667,0.5666666666666667,0.7333333333333333,0.4,0.17777777777777776,0.13333333333333333,0.08666666666666667,0.08666666666666667,0.7333333333333333,0.8398466665918628,1.1466299997664464
bm25_current,diagnostic:long_natural_language,3,0.0,0.3333333333333333,1.0,1.0,0.27777777777777773,0.0,0.3333333333333333,0.7142857142857143,0.7142857142857143,0.0,0.1111111111111111,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.7142857142857143,1.0539999999915988,1.133929999468819
bm25_current,diagnostic:numeric_or_time,11,0.5454545454545454,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.6393939393939394,0.4090909090909091,0.5909090909090909,0.6818181818181818,0.7727272727272727,0.5454545454545454,0.2424242424242424,0.16363636363636364,0.1,0.1,0.7727272727272727,0.7813999998854176,1.0893500002566725
bm25_current,diagnostic:paraphrase,6,0.16666666666666666,0.3333333333333333,0.5,0.8333333333333334,0.3277777777777778,0.16666666666666666,0.3333333333333333,0.5,0.8333333333333334,0.16666666666666666,0.1111111111111111,0.10000000000000002,0.08333333333333333,0.08333333333333333,0.8333333333333334,1.0790166666083678,1.2113999998746294
bm25_current,diagnostic:procedure,6,0.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.2638888888888889,0.0,0.21428571428571427,0.4880952380952381,0.6428571428571429,0.0,0.16666666666666666,0.20000000000000004,0.16666666666666666,0.16666666666666666,0.6428571428571429,1.0759285714811995,1.3200999999753549
bm25_current,diagnostic:product_specific,18,0.2222222222222222,0.5555555555555556,0.7777777777777778,0.8888888888888888,0.44999999999999996,0.19444444444444445,0.5,0.6666666666666666,0.8055555555555556,0.2222222222222222,0.2037037037037037,0.16666666666666666,0.10555555555555557,0.10555555555555557,0.8055555555555556,0.8388222221482364,1.183225000386301
bm25_current,diagnostic:temporal,18,0.6111111111111112,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6759259259259259,0.4444444444444444,0.6666666666666666,0.6944444444444444,0.75,0.6111111111111112,0.2962962962962963,0.1888888888888889,0.10555555555555557,0.10555555555555557,0.75,0.9715500000816569,1.5496850002364202
bm25_current,question_type:adverse_reaction,8,0.75,1.0,1.0,1.0,0.875,0.375,0.8125,0.9375,1.0,0.75,0.5416666666666666,0.375,0.2,0.2,1.0,0.9811374998207611,1.1718800003109209
bm25_current,question_type:fact_specific,10,0.5,0.8,0.9,0.9,0.675,0.5,0.75,0.9,0.9,0.5,0.3,0.22000000000000003,0.11000000000000001,0.11000000000000001,0.9,1.0024299999713548,1.3645900002757114
